Latitude,Longitude,Month of Year,Week,Day of Week,Hour of Day,Date,Condition,Average Celsius,Minimum Celsius,Maximum Celsius,Pressure,Humidity,WindSpeed
40.807305300000000,-73.857146200000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.825233900000000,-73.896014600000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.669137000000000,-73.810007000000000,10,43,6,2,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.691788000000000,-73.812209000000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.734576200000000,-74.005297800000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.665754000000000,-73.839208000000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.710780000000000,-73.790954000000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.762668300000008,-73.976845400000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.762715200000000,-73.976971700000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.885966000000000,-73.864499200000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.761644100000000,-73.993657500000000,10,43,6,1,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.681347400000000,-73.911655400000000,10,43,6,1,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.559443400000000,-74.143012000000000,10,43,6,4,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.719342900000000,-73.802339900000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.681599600000000,-73.859412100000000,10,43,6,0,2020-10-23 03:00:11.423,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
40.652313000000000,-73.939475000000000,10,43,6,22,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.818067000000000,-73.899704000000000,10,43,6,23,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.679282000000000,-73.908039000000000,10,43,6,18,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.639911900000000,-74.090214400000000,10,43,6,18,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.690739699999984,-73.957780900000000,10,43,6,23,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.719083800000000,-73.943708700000016,10,43,6,18,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.633210400000000,-74.023308700000000,10,43,6,18,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.743012000000000,-73.887594999999984,10,43,6,18,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.684551000000000,-73.797511000000016,10,43,6,18,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.829538600000000,-73.882817400000000,10,43,6,23,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.677382000000000,-73.911501800000000,10,43,6,22,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.696710499999984,-73.744979899999984,10,43,6,22,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.612193600000000,-74.070332800000000,10,43,6,19,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
40.640369000000000,-73.946167000000000,10,43,6,22,2020-10-23 21:48:07.273,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
