Date,Month of Year,Week,Day of Week,Hour of Day,Condition,Average Celsius,Minimum Celsius,Maximum Celsius,Pressure,Humidity,WindSpeed
2020-10-23 03:00:11.423,10,43,6,3,10,18.310000000000000,17.780000000000000,19.000000000000000,1025.000000000000000,93.000000000000000,1.690000000000000
2020-10-23 21:48:07.273,10,43,6,21,12,18.120000000000000,17.220000000000000,19.000000000000000,1021.000000000000000,88.000000000000000,3.670000000000000
2020-10-24 03:00:19.957,10,43,7,3,12,17.420000000000000,16.670000000000000,18.000000000000000,1019.000000000000000,82.000000000000000,1.500000000000000
2020-10-24 09:00:16.890,10,43,7,9,12,17.180000000000000,16.670000000000000,18.000000000000000,1016.000000000000000,77.000000000000000,1.500000000000000
2020-10-24 15:00:15.537,10,43,7,15,12,17.590000000000000,17.000000000000000,18.330000000000000,1015.000000000000000,88.000000000000000,2.600000000000000
2020-10-25 03:00:17.197,10,44,1,3,1,11.200000000000000,9.440000000000000,13.000000000000000,1018.000000000000000,54.000000000000000,4.100000000000000
2020-10-25 09:00:14.597,10,44,1,9,1,7.770000000000000,6.670000000000000,9.000000000000000,1021.000000000000000,65.000000000000000,2.600000000000000
2020-10-25 15:00:10.387,10,44,1,15,1,9.310000000000000,8.330000000000000,10.560000000000000,1025.000000000000000,48.000000000000000,3.100000000000000
2020-10-25 21:00:11.747,10,44,1,21,12,10.930000000000000,10.560000000000000,11.670000000000000,1025.000000000000000,53.000000000000000,2.600000000000000
2020-10-26 03:00:12.820,10,44,2,3,8,10.010000000000000,8.000000000000000,11.110000000000000,1025.000000000000000,87.000000000000000,2.100000000000000
2020-10-26 09:00:14.103,10,44,2,9,12,11.000000000000000,10.000000000000000,12.000000000000000,1024.000000000000000,87.000000000000000,2.600000000000000
2020-10-26 15:00:14.117,10,44,2,15,12,12.330000000000000,10.560000000000000,13.890000000000000,1023.000000000000000,93.000000000000000,3.100000000000000
2020-10-26 21:00:11.370,10,44,2,21,10,13.850000000000000,12.780000000000000,15.000000000000000,1020.000000000000000,93.000000000000000,1.500000000000000
2020-10-27 03:00:15.717,10,44,3,3,10,14.240000000000000,13.000000000000000,15.000000000000000,1020.000000000000000,93.000000000000000,0.820000000000000
2020-10-27 09:00:14.580,10,44,3,9,10,13.980000000000000,12.780000000000000,15.000000000000000,1020.000000000000000,93.000000000000000,2.600000000000000
2020-10-27 15:00:11.123,10,44,3,15,12,12.210000000000000,11.000000000000000,13.330000000000000,1023.000000000000000,81.000000000000000,3.600000000000000
2020-10-27 21:00:19.903,10,44,3,21,1,14.360000000000000,13.330000000000000,15.560000000000000,1021.000000000000000,67.000000000000000,1.930000000000000
2020-10-28 03:00:14.227,10,44,4,3,12,13.080000000000000,11.670000000000000,14.000000000000000,1022.000000000000000,62.000000000000000,1.500000000000000
2020-10-28 09:00:09.850,10,44,4,9,8,11.870000000000000,10.560000000000000,13.000000000000000,1020.000000000000000,71.000000000000000,1.560000000000000
2020-10-28 15:00:12.907,10,44,4,15,8,11.810000000000000,10.560000000000000,13.000000000000000,1017.000000000000000,100.000000000000000,1.500000000000000
2020-10-28 21:00:11.350,10,44,4,21,12,14.040000000000000,13.330000000000000,14.440000000000000,1015.000000000000000,82.000000000000000,3.600000000000000
2020-10-29 03:00:15.860,10,44,5,3,12,13.600000000000000,12.220000000000000,15.000000000000000,1016.000000000000000,82.000000000000000,2.600000000000000
2020-10-29 09:00:14.397,10,44,5,9,13,12.760000000000000,11.110000000000000,14.000000000000000,1014.000000000000000,71.000000000000000,1.850000000000000
2020-10-29 15:00:13.780,10,44,5,15,11,10.120000000000000,8.890000000000000,11.000000000000000,1012.000000000000000,87.000000000000000,3.600000000000000
2020-10-29 21:00:12.213,10,44,5,21,10,9.780000000000000,8.330000000000000,11.110000000000000,1002.000000000000000,93.000000000000000,4.100000000000000
2020-10-30 03:00:17.500,10,44,6,3,10,8.380000000000000,7.220000000000000,9.440000000000000,1004.000000000000000,93.000000000000000,2.600000000000000
2020-10-30 09:00:16.010,10,44,6,9,11,6.650000000000000,5.560000000000000,7.220000000000000,1005.000000000000000,93.000000000000000,6.200000000000000
2020-10-30 15:00:15.010,10,44,6,15,8,3.420000000000000,2.220000000000000,4.440000000000000,1011.000000000000000,93.000000000000000,4.100000000000000
2020-10-30 21:00:15.537,10,44,6,21,12,5.870000000000000,5.000000000000000,7.000000000000000,1017.000000000000000,70.000000000000000,2.600000000000000
2020-10-31 03:00:10.097,10,44,7,3,1,3.230000000000000,1.670000000000000,4.440000000000000,1025.000000000000000,80.000000000000000,3.100000000000000
2020-10-31 09:00:14.160,10,44,7,9,1,1.520000000000000,0.000000000000000,2.780000000000000,1029.000000000000000,74.000000000000000,2.610000000000000
2020-10-31 15:00:12.807,10,44,7,15,1,4.580000000000000,3.000000000000000,6.110000000000000,1035.000000000000000,74.000000000000000,2.100000000000000
2020-10-31 21:00:11.130,10,44,7,21,1,7.330000000000000,6.670000000000000,8.330000000000000,1033.000000000000000,52.000000000000000,1.500000000000000
2020-11-01 03:00:10.383,11,45,1,3,0,6.570000000000000,4.440000000000000,8.330000000000000,1031.000000000000000,58.000000000000000,2.940000000000000
2020-11-01 09:00:14.353,11,45,1,9,12,7.260000000000000,4.440000000000000,9.440000000000000,1027.000000000000000,62.000000000000000,3.910000000000000
2020-11-01 15:00:14.240,11,45,1,15,12,12.110000000000000,10.560000000000000,13.000000000000000,1021.000000000000000,62.000000000000000,2.100000000000000
